WHTN01
Plasticicumulans
SG8-41
UBA868
Palsa-881
CAIKMD01
CAIKXV01
Acidovorax
Allorhizobium
BG8
Bin22
Lampropedia
Arctic95D-9
Terrimicrobium
AG-422-B15
Piscinibacter
VAWY01
UBA668
WTFX01
D37C17
DT-91
JACDDX01
Casp-actino8
UKL13-2
JAEUKZ01
ER46
EFPC-2
VAYN01
TMPK1
RS62
Klebsiella
CABYIR01
CACIIZ01
UBA953
CAIXEA01
UBA964
Bacillus_S
Citrobacter
Vibrio
Hydrocarboniphaga
Curvibacter
Streptosporangium
Archangium
Sporosarcina
Fredinandcohnia
Tsuneonella
Azoarcus
Gottfriedia
Phormidium_B
Pseudooceanicola
Halomonas_B
Caulobacter
Celeribacter
Methylosinus
Zavarzinia
Pseudocitrobacter
Nesterenkonia
Sphingomonas_M
Nitrincola
Nonomuraea
Paenactinomyces
Marinomonas
Polynucleobacter
HTCC2150
UBA3069
UBA5216
Haliea
Castellaniella
Congregibacter
GCA-2687015
UBA890
TMED167
GCA-2729515
Macondimonas
Mf105b01
QWPN01
J058
Eoetvoesia
SSSZ01
UBA2991
VXYK01
WTGL01
GCA-2726415
JAFKFI01
Afipia
CAIWVZ01
SZAS-79
GCA-2731375
CAIYYX01
Azonexus
Conexibacter
Rhodoglobus
Bacillus_AD
Chelativorans
Advenella
Streptacidiphilus_A
Psychrobacter
Microbacterium
Sulfitobacter
Actinoalloteichus
Kitasatospora
Pseudomonas_F
Alcaligenes
Salipiger
Pseudobacillus
Kerstersia
Thermus
Tepidicella
Paracoccus
Ferrovibrio
Sphingorhabdus_B
Halomonas_C
Sulfobacillus_B
Litorivivens
Tardiphaga
Pandoraea
BRH-c0
LMDS01
RBG-16-66-20
Schlegelella_A
Pelagibacter
Pararhodobacter
PWLA01
LNNU-3342
DRLC01
FEN-1219
JABDIW01
JAAFIP01
JAAFIY01
Prochloron
Ideonella
JAEUHH01
Nitrobacter
BOG-931
AP-16
JB111
Roseicyclus
Pusillimonas_C
Halomonas
Kordiimonas
Thermocrispum
Pseudomonas_A
Qipengyuania
Tardibacter
Pseudorhodoplanes
Zobellella_D
Pseudoduganella
Desertimonas
Azomonas
Nocardioides_A
Alicyclobacillus
Blastococcus
Frankia
Bin52
UBA11889
UBA7694
GCA-2689995
GCA-002701455
Maritimibacter
GCA-2722775
PKWO01
Bog-209
VYCW01
DRKF01
JAABQG01
WVWV01
JABSSB01
VBDL01
JACQTO01
Arenicella
CACCCN01
Minwuia
PCRC01
JAGNPU01
JAFEFJ01
Planktotalea
MED-G09
GCA-2722105
JAFASC01
GCA-002712045
Gordonia
Sporichthya
Methyloferula
Comamonas_C
Bordetella_C
Cupriavidus
Rivicola
Cryobacterium
Marmoricola
Allosphingosinicella
Serinicoccus
Trinickia
Escherichia
Mesobacillus_A
Mesorhizobium
Buttiauxella
Pseudarthrobacter
Puniceicoccus
Alteraurantiacibacter
Bacillus_AZ
Aromatoleum
Bordetella_B
Amycolatopsis_D
Sphingomonas_N
LCKU01
TMED123
UBA974
GCA-002731945
PHEG01
Carbobacillus
RAAP-2
AG41
UBA7803
Bin134
UBA721
JACCYI01
Casimicrobium
JACRDR01
UBA2093
WHTI01
UBA5518
Chakrabartia
OLB15
Comamonas
Sva-07
Palsa-465
CADEEH01
F1-60-MAGs149
Tepidamorphus
Shimwellia
Nocardiopsis
VKM-B-2647
Sinorhizobium
Janthinobacterium
BK-30
Aliterella
Phytoactinopolyspora
Oceanobacillus
Halioglobus_A
Alteromonas
Marortus
UBA7805
Yaniella
GCA-2702655
Palsa-883
SZUA-430
RDXE01
DP-3
DP-19
VBDM01
UBA3006
WTFV01
SpSt-190
WLWS01
Gulosibacter
JABSQX01
Dongia
Nitrosomonas
UBA4441
JAFLCL01
Thiobacillus
MEDG-81
MED-G116
UBA6821
F1-20-MAGs119
Meiothermus
Polymorphum
Arthrobacter_I
Rhizobacter
Sinomonas
Sphingomonas_E
Mangrovicoccus
Salinicola
Polyangium
Haloechinothrix
Kutzneria
Arthrobacter_K
Salicibibacter
MED-G52
HIMB30
UBA3470
Sneathiella
Io17-Chloro-G2
HR10
Bog-1198
Prochlorococcus_A
Microbispora
PALSA-1003
SLTB01
JACCUS01
SCSIO-52909
TMED23
Arctic96AD-7
CADCTF01
CADEGL01
CAILKO01
Granulicoccus
Geobacillus
Acetobacter
Siminovitchia
Micromonospora_E
Actinocorallia
Rhizobium_A
Siccirubricoccus
Duganella
Streptomonospora
Kineosporia
Ralstonia
Erwinia_A
Rhodoferax
UBA1328
Oricola
UBA7985
UBA7455
Velthaea
VXMP01
WLWV01
JACCES01
OCS116
UBA3439
VGTJ01
Silvibacterium
AG-337-I02
AG-339-G14
Pannonibacter
Micropelagos
Agrobacterium
Robertmurraya
Paenibacillus_S
Zobellella_C
Rivibacter
Antarcticimicrobium
Saccharopolyspora
S0819
Sphingomonas_G
Shewanella
Dactylosporangium
Pinisolibacter
Bowdeniella
Insolitispirillum
2-02-FULL-63-19
Bin61
Sandaracinobacter
GCA-2700365
Sulfobacillus_C
UBA4615
WHTF01
Anderseniella
Polymorphobacter
KMS-5
JAFAZJ01
13-2-20CM-66-19
SMXQ01
JABISG01
JAFAXD01
CAINXC01
Ktedonobacter
Actibacterium
Leisingera
Thalassomonas
IMCC21906
Labilithrix
Pseudorhodoferax
Dietzia
Actinophytocola
Bacillus_BH
Williamsia
Ignatzschineria
Bacillus_A
Pseudooceanicola_C
Glutamicibacter
Aeromicrobium
Chromohalobacter
Gluconobacter
Klugiella
Modestobacter
Rossellomorea
Shinella
Marinovum
Phreatobacter
Enterovibrio
UBA8309
Ilumatobacter
PALSA-693
REDSEA-S09-B13
UBA10347
SHXR01
CAIYRG01
JABDJO01
UBA2110
VGLJ01
UBA9145
ASV31
GCA-2707915
CAILUG01
TCS55
Thermomicrobium
Limimaricola
Thioclava
Serratia_A
Rubrobacter_A
Marinobacterium_A
FJAT-45350
Xylophilus
Blastomonas
Rhodoligotrophos
Marinobacter
Diaphorobacter_A
Parahaliea
Kaistia
GCA-2696645
SZUA-521
WHSQ01
WLMZ01
JAAXHJ01
UBA1268
WTGU01
JACDGB01
UBA9410
SZUA-611
JACQAI01
Leucobacter
DP-20
Amphritea
JAFARZ01
CABYJX01
Bacillus_AN
Dyella_A
Paenibacillus_E
Skermanella
Puniceibacterium
Pelomonas
Pseudoalteromonas
Albibacillus
Chachezhania
RCIO01
Paroceanicella
Aquabacterium_A
Lipingzhangella
Marinicauda
Myxococcus
Pseudomaricurvus
GCA-2709075
AR5
SMWF01
WHSO01
Thioalkalivibrio_B
RKRP01
WTFY01
JAAUSV01
Paenalcaligenes
JABSSC01
JACDAL01
Hoeflea
JAATET01
JACPRU01
JAEULV01
CAIVDX01
Thauera
Azotobacter
Beijerinckia
Robbsia
Peribacillus
Bacillus_BA
Sinimarinibacterium
Aliishimia
Propioniferax
Methylomonas
Acrocarpospora
Spongiibacter
Rhodobacter_B
Spinactinospora
SkT53
Virgibacillus_I
UBA7434
Colwellia
Amylibacter
UBA5189
VMCJ01
VFMC01
JAAZCI01
DUCF01
JACCTY01
Niveispirillum
CADEFQ01
Leclercia
AG-414-E02
CADEFF01
Kyrpidia
Haloglycomyces
Algiphilus
Bacillus_L
Bdellovibrio
Hydrogenibacillus
Thermogemmatispora
Edaphovirga
Saccharospirillum
X156
LMUX01
Actinosynnema
Marihabitans
Neorhizobium
Roseococcus
Oceanibacterium
Paenarthrobacter
UBA12202
UBA4427
Robiginitomaculum_B
GCA-002790365
GLO-12
UBA11371
DP-1
NP-4
WHSY01
JAAYGT01
JABDJW01
JACQWY01
UBA11606
Mxb001
62-47
Marivita
GCA-2730855
Paenibacillus_O
Croceibacterium
Salipaludibacillus
Fuscovulum
ETT8
Pusillimonas_B
Thermopolyspora
Rhodopirellula
Alcanivorax_A
Epibacterium
Methylocystis
JABFXA01
Litorimicrobium
Sphaerotilus
Demequina
UBA4479
MedAcidi-G3
SAT37
Hirschia
PHCI01
Rhizomicrobium
Gemmobacter
HB2-32-21
VBCK01
M0112
PWYM01
WLJO01
JAAXGX01
JACQAE01
JADJCH01
Planktomarina
Steroidobacter_A
UBA10649
REEB95
REEB509
CACPJE01
Chania
Aneurinibacillus_A
Endozoicomonas
Caenibius
Vannielia
Emcibacter
SO9
Giesbergeria
UBA2966
UBA967
Thalassobius
Roseovarius
Sulfotelmatobacter
PALSA-505
AV2
GCA-001735895
UBA1847
SPBQ01
SLSW01
JAACDM01
PFJX01
JAEUUM01
UBA961
JAALLB01
JAFIHG01
Ottowia
CADDYU01
CAJQQZ01
Cystobacter
Bacillus_BJ
Rhodanobacter
Oleiliquidispirillum
Verticiella
Roseibium
Hypericibacter
Phytohabitans
Neomicrococcus
Stappia
Alcanivorax
Arthrobacter_B
